timestamp_utc,err_pan,err_tilt,error_deg,last_delta_pan,last_delta_tilt,dt_send,d_pan,d_tilt,current_pan_deg,current_tilt_deg,action_pan,action_tilt,next_err_pan,next_err_tilt,next_error_deg,use_model
2026-02-15T12:08:41.000,-5.737750180846611,0.10899594237964294,5.7387853465050025,-3.0000000000000004,-2.964946409542913e-12,0.07922196388244629,-0.007359665037835631,1.3758298462159684,-14.204487236908761,-32.99999999999729,-2.9994588581402395,0.05697857776438159,-2.7382913227063703,0.052017364615259964,2.738785346505001,0
2026-02-15T12:08:41.076,-5.731635426790621,0.3397925678867182,5.74169867328758,-2.9994588581402395,0.05697857776438159,0.07651996612548828,0.07991056930110946,3.0161621494785065,-17.203946095049,-32.94302142223291,-2.9947420195296335,0.1775393941173997,-2.736893407260986,0.16225317376931514,2.741698673287578,0
2026-02-15T12:08:41.156,-5.719270132142221,0.5685343133115097,5.747458752338001,-2.9947420195296335,0.1775393941173997,0.07948541641235352,0.15556683485499048,2.87778256376148,-20.198688114578637,-32.76548202811551,-2.9852863910414422,0.29675775215275957,-2.7339837411007792,0.27177656115875237,2.7474587523380016,0
2026-02-15T12:08:41.220,-5.698407664715958,0.8177377293487567,5.756782513461321,-2.9852863910414422,0.29675775215275957,0.06389093399047852,0.32653251601191763,3.900450353009161,-23.18397450562008,-32.46872427596275,-2.9695794402816875,0.42614310724954796,-2.7288282244342703,0.3915946220992055,2.75678251346132,0
2026-02-15T12:08:41.283,-5.677366552947909,1.0053347704648026,5.765690676513711,-2.9695794402816875,0.42614310724954796,0.06382441520690918,0.32967183012703244,2.9392676847548773,-26.153553945901766,-32.0425811687132,-2.954043255949064,0.5230950601772602,-2.7233232969988457,0.48223971028754065,2.765690676513712,0
2026-02-15T12:08:41.363,-5.64341368971192,1.2446366379683376,5.779034385933435,-2.954043255949064,0.5230950601772602,0.07991886138916016,0.4248416787453617,2.9943102709918343,-29.10759720185083,-31.519486108535936,-2.929596873544329,0.6461131158855197,-2.7138168161675935,0.598523522082818,2.779034385933437,0
2026-02-15T12:08:41.443,-5.610574024742981,1.4332784877348033,5.790753673791005,-2.929596873544329,0.6461131158855197,0.07994842529296875,0.4107606228465352,2.3595442821443067,-32.037194075395156,-30.873372992650417,-2.906654819459761,0.7425346864028248,-2.7039192052832206,0.6907438013319798,2.790753673791006,0
2026-02-15T12:08:41.507,-5.56489503936411,1.6528322734786194,5.805162471748037,-2.906654819459761,0.7425346864028248,0.06359410285949707,0.7182896420410617,3.4524236662146452,-34.943848894854916,-30.130838306247593,-2.875834259478575,0.8541529792779025,-2.689060779885537,0.798679294200717,2.805162471748039,0
2026-02-15T12:08:41.571,-5.522632081195212,1.825701866057944,5.816584256071085,-2.875834259478575,0.8541529792779025,0.06390643119812012,0.661325587684221,2.705042189625664,-37.81968315433349,-29.27668532696969,-2.848389280408484,0.9416360800511192,-2.674242800786729,0.8840657860068255,2.8165842560710863,0
2026-02-15T12:08:41.635,-5.4764336943353555,1.990716497388572,5.827029962290104,-2.848389280408484,0.9416360800511192,0.06386446952819824,0.7233816737404898,2.5838252873574508,-40.66807243474197,-28.335049246918572,-2.8194983017642015,1.0249045449937206,-2.6569353925711567,0.9658119523948514,2.8270299622901067,0
2026-02-15T12:08:41.715,-5.4244083909282566,2.153692996471513,5.836317324702566,-2.8194983017642015,1.0249045449937206,0.0798194408416748,0.6517873698250198,2.0418145925904376,-43.48757073650617,-27.31014470192485,-2.7882694287213203,1.1070472405720009,-2.6361389622069353,1.0466457558995117,2.8363173247025655,0
2026-02-15T12:08:41.778,-5.354453799198829,2.343427085363853,5.844811886807967,-2.7882694287213203,1.1070472405720009,0.06372404098510742,1.0977739428950526,2.9774334138144485,-46.27584016522749,-26.20309746135285,-2.7483111019966784,1.2028242126935267,-2.606142697202152,1.1406028726703248,2.844811886807967,0
2026-02-15T12:08:41.842,-5.293400933959553,2.4872140076521703,5.848617526177023,-2.7483111019966784,1.2028242126935267,0.06396698951721191,0.9544433105273478,2.247830066312997,-49.02415126722417,-25.000273248659322,-2.715206239902446,1.2757958593735996,-2.5781946940571103,1.2114181482785717,2.8486175261770263,0
2026-02-15T12:08:41.922,-5.210316157439763,2.656861615308955,5.848615913477305,-2.715206239902446,1.2757958593735996,0.08010697364807129,1.0371728294817513,2.117763284905587,-51.73935750712661,-23.724477389285724,-2.6725893277245283,1.362815572751116,-2.5377268297152327,1.294046042557838,2.848615913477303,0
2026-02-15T12:08:42.002,-5.13828999046541,2.783888311030868,5.843976228084036,-2.6725893277245283,1.362815572751116,0.0797574520111084,0.9030650448101325,1.5926624098300044,-54.41194683485114,-22.361661816534607,-2.6377365974416427,1.4291065889278474,-2.5005533930237647,1.35478172210302,2.8439762280840335,0
2026-02-15T12:08:42.080,-5.03813778646667,2.934991525800548,5.8306952940403525,-2.6377365974416427,1.4291065889278474,0.07781386375427246,1.2870740401094694,1.941854670613034,-57.04968343229279,-20.93255522760676,-2.5922145811407256,1.5101071370341288,-2.445923205325947,1.4248843887664187,2.830695294040354,0
2026-02-15T12:08:42.144,-3.3581019865664885,3.054363554882208,4.5393816404411815,-2.5922145811407256,1.5101071370341288,0.06440043449401855,26.08733641472903,1.8535904302438697,-59.64189801343351,-19.42244809057263,-0.7397707997603206,0.6728589479392958,-2.6183311868061665,2.3815046069429116,3.53938164044118,0
2026-02-15T12:08:42.208,-2.6183311868061665,3.1451519823638954,4.0923879576561815,-0.7397707997603206,0.6728589479392958,0.06324601173400879,11.696718567354829,1.4354806728922687,-60.38166881319383,-18.749589142633333,-0.6398052222560429,0.7685371022754174,-1.9785259645501228,2.3766148800884785,3.092387957656181,0
2026-02-15T12:08:42.288,-1.9785259645501228,3.226564042523684,3.784875230824098,-0.6398052222560429,0.7685371022754174,0.07989811897277832,8.007763267543615,1.0189483958630616,-61.02147403544988,-17.981052040357916,-0.5227453598567711,0.852488878958673,-1.4557806046933521,2.37407516356501,2.7848752308240976,0
2026-02-15T12:08:42.352,-1.4557806046933521,3.3162796769857223,3.621741026770118,-0.5227453598567711,0.852488878958673,0.06398797035217285,8.16943180069189,1.4020703261607979,-61.54421939530665,-17.128563161399242,-0.4019560189237557,0.9156589751927107,-1.053824585769597,2.400620701793013,2.6217410267701196,0
2026-02-15T12:08:42.415,-1.053824585769597,3.3734153517949856,3.534186949398482,-0.4019560189237557,0.9156589751927107,0.06371951103210449,6.3082094073388815,0.8966747215068239,-61.9461754142304,-16.212904186206533,-0.29818020406332996,0.954509594454006,-0.7556443817062686,2.41890575734098,2.5341869493984825,0
2026-02-15T12:08:42.511,-0.7556443817062686,3.4312911591970217,3.5135107016754468,-0.29818020406332996,0.954509594454006,0.09534668922424316,3.1273262500184646,0.6070038495612528,-62.24435561829373,-15.258394591752527,-0.215068188449215,0.9765990345669879,-0.5405761932570528,2.454692124630034,2.5135107016754468,0
